condition,agentType,observations,initEvals,finalEvals,groupDecision,additionalInfo
Hierarchy,GEMINI,"[['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.']]","[[6, 8, 7, 2], [3, 7, 6, 2], [1, 8, 10, 2], [3, 6, 2, 7], [5, 8, 9, 2], [5, 7, 9, 6]]","[[5, 5, 7, 2], [3, 4, 5, 2], [4, 3, 4, 8], [4, 3, 4, 8], [5, 8, 9, 6], [4, 3, 4, 8]]","[4, 3, 4, 8]","[[3], [0, 1, 2, 4, 5]]"
Hierarchy,GEMINI,"[['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""]]","[[2, 6, 9, 1], [5, 7, 8, 9], [4, 6, 8, 7], [6, 7, 5, 3], [3, 6, 3, 2], [6, 7, 7, 8]]","[[3, 7, 9, 1], [4, 7, 7, 6], [5, 6, 7, 6], [5, 6, 7, 6], [5, 6, 7, 6], [5, 6, 7, 6]]","[5, 6, 7, 6]","[[3], [0, 1, 2, 4, 5]]"
Hierarchy,GEMINI,"[[""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away']]","[[4, 6, 3, 8], [5, 7, 8, 3], [6, 7, 3, 8], [2, 7, 9, 4], [7, 8, 5, 3], [3, 6, 9, 7]]","[[7, 7, 3, 9], [4, 8, 9, 3], [8, 9, 8, 7], [6, 6, 10, 3], [7, 7, 9, 5], [7, 7, 9, 5]]","[7, 7, 9, 5]","[[4], [0, 1, 2, 3, 5]]"
Hierarchy,GEMINI,"[['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor']]","[[4, 7, 6, 9], [1, 9, 10, 2], [3, 6, 8, 2], [3, 7, 5, 4], [4, 7, 5, 8], [7, 8, 9, 6]]","[[3, 7, 6, 10], [4, 9, 10, 2], [3, 7, 8, 4], [5, 7, 8, 7], [5, 7, 8, 7], [5, 7, 8, 7]]","[5, 7, 8, 7]","[[3], [0, 1, 2, 4, 5]]"
Hierarchy,GEMINI,"[['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""]]","[[2, 5, 4, 7], [6, 7, 6, 3], [5, 7, 6, 8], [1, 6, 5, 3], [3, 8, 9, 2], [6, 3, 3, 8]]","[[7, 7, 5, 7], [7, 6, 7, 5], [7, 7, 5, 6], [7, 8, 5, 3], [5, 6, 9, 2], [7, 5, 6, 8]]","[7, 6, 7, 5]","[[1], [0, 2, 3, 4, 5]]"
Hierarchy,GEMINI,"[[""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family']]","[[5, 8, 9, 7], [1, 7, 8, 3], [5, 8, 7, 1], [6, 7, 5, 3], [5, 8, 9, 2], [3, 7, 9, 3]]","[[3, 7, 9, 4], [1, 7, 9, 3], [5, 8, 8, 1], [3, 7, 8, 1], [3, 7, 8, 1], [3, 7, 8, 1]]","[3, 7, 8, 1]","[[5], [0, 1, 2, 3, 4]]"
Hierarchy,GEMINI,"[['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], ['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.']]","[[2, 7, 8, 1], [5, 7, 3, 2], [4, 7, 8, 3], [3, 7, 9, 1], [3, 7, 5, 4], [2, 8, 6, 1]]","[[1, 8, 9, 1], [6, 7, 2, 2], [6, 6, 7, 8], [7, 7, 7, 6], [6, 7, 5, 4], [7, 7, 7, 6]]","[7, 7, 7, 6]","[[5], [0, 1, 2, 3, 4]]"
Hierarchy,GEMINI,"[['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], ['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family']]","[[5, 7, 4, 8], [6, 8, 3, 4], [3, 7, 9, 2], [5, 7, 6, 8], [1, 7, 5, 3], [3, 7, 8, 2]]","[[6, 7, 4, 8], [7, 8, 3, 4], [4, 7, 9, 2], [4, 7, 9, 5], [1, 8, 6, 2], [2, 7, 9, 2]]","[4, 7, 9, 5]","[[3], [0, 1, 2, 4, 5]]"
Hierarchy,GEMINI,"[['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.']]","[[2, 6, 9, 1], [5, 7, 9, 8], [5, 7, 6, 3], [4, 7, 3, 8], [2, 8, 9, 1], [3, 6, 4, 8]]","[[2, 6, 9, 4], [6, 7, 9, 6], [5, 8, 8, 5], [7, 7, 8, 5], [6, 7, 9, 6], [6, 7, 9, 6]]","[6, 7, 9, 6]","[[1], [0, 2, 3, 4, 5]]"
Hierarchy,GEMINI,"[['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner']]","[[2, 8, 5, 5], [6, 7, 9, 3], [5, 7, 9, 6], [4, 7, 9, 5], [3, 6, 5, 8], [2, 6, 9, 1]]","[[6, 8, 8, 4], [8, 7, 9, 5], [6, 8, 10, 7], [7, 7, 9, 4], [3, 7, 9, 8], [2, 7, 9, 5]]","[8, 7, 9, 5]","[[1], [0, 2, 3, 4, 5]]"
