condition,agentType,observations,initEvals,finalEvals,groupDecision,additionalInfo
Community,GEMINI,"[['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor']]","[[6, 7, 9, 3], [3, 8, 7, 4], [4, 6, 5, 8], [3, 7, 8, 6], [6, 7, 9, 8], [7, 8, 7, 8]]","[[5, 8, 9, 7], [5, 8, 9, 7], [6, 6, 9, 8], [5, 8, 8, 6], [5, 8, 9, 7], [6, 8, 9, 8]]","[3.0, 6.5, 5.5, 7.0]","([4, 0, 1], [2, 3, 5])"
Community,GEMINI,"[['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win']]","[[7, 6, 7, 8], [6, 7, 9, 4], [6, 5, 6, 4], [6, 7, 9, 8], [5, 7, 6, 3], [6, 7, 7, 3]]","[[6, 7, 7, 3], [6, 7, 7, 6], [6, 6, 6, 6], [6, 6, 7, 7], [6, 7, 7, 3], [6, 7, 7, 3]]","[6.0, 6.5, 7.0, 4.5]","([0, 4, 5], [1, 2, 3])"
Community,GEMINI,"[['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', ""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp""], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack']]","[[6, 8, 9, 3], [1, 6, 3, 4], [1, 6, 9, 3], [6, 7, 7, 4], [3, 7, 8, 6], [3, 7, 9, 2]]","[[4, 9, 10, 4], [1, 8, 8, 2], [4, 9, 10, 4], [2, 8, 9, 2], [4, 9, 10, 4], [3, 7, 9, 2]]","[2.5, 2.5, 5.0, 8.5]","([1, 5, 3], [0, 2, 4])"
Community,GEMINI,"[['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away']]","[[1, 6, 3, 2], [5, 8, 5, 4], [4, 7, 9, 3], [2, 7, 6, 8], [3, 5, 4, 7], [2, 7, 9, 1]]","[[7, 9, 2, 8], [6, 8, 3, 9], [3, 7, 8, 6], [3, 7, 8, 6], [6, 8, 2, 9], [3, 7, 8, 6]]","[4.5, 7.5, 5.5, 7.5]","([1, 0, 4], [2, 3, 5])"
Community,GEMINI,"[['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner']]","[[4, 5, 6, 8], [2, 7, 8, 7], [7, 6, 8, 3], [3, 6, 8, 7], [3, 8, 6, 4], [3, 7, 6, 2]]","[[7, 8, 6, 8], [7, 8, 7, 7], [5, 8, 9, 5], [5, 8, 9, 5], [5, 8, 9, 5], [7, 8, 6, 6]]","[6.0, 8.0, 7.5, 6.5]","([2, 3, 4], [0, 1, 5])"
Community,GEMINI,"[['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win']]","[[3, 7, 8, 2], [2, 6, 8, 3], [5, 8, 9, 4], [5, 7, 6, 8], [2, 6, 6, 3], [5, 6, 4, 3]]","[[2, 9, 8, 7], [5, 8, 8, 4], [6, 9, 9, 5], [3, 9, 7, 8], [2, 8, 7, 7], [5, 8, 9, 3]]","[3.5, 8.0, 7.5, 5.5]","([4, 3, 0], [1, 2, 5])"
Community,GEMINI,"[['A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'A few months ago, I heard John got a job offer overseas in Lebanon. The pay was great, but John said it was too risky to move there until the tension in the area settled down.'], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner'], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""]]","[[5, 7, 6, 8], [2, 7, 8, 3], [1, 6, 3, 2], [5, 7, 6, 8], [5, 7, 8, 3], [8, 7, 7, 6]]","[[5, 7, 8, 8], [6, 7, 4, 4], [6, 7, 4, 4], [5, 7, 8, 6], [5, 7, 8, 6], [6, 7, 4, 4]]","[5.5, 7.0, 6.0, 5.0]","([4, 3, 0], [1, 2, 5])"
Community,GEMINI,"[['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], ['Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win', 'John cancelled our weekend plans to go fishing so that he could spend the time with his wife after her father passed away'], ['Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack'], ['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor']]","[[6, 7, 5, 3], [6, 7, 5, 3], [4, 6, 8, 7], [5, 9, 9, 3], [2, 7, 8, 3], [7, 8, 6, 8]]","[[6, 6, 7, 5], [5, 7, 5, 8], [4, 7, 8, 7], [5, 7, 8, 6], [4, 7, 6, 8], [6, 8, 5, 8]]","[6.0, 7.0, 6.0, 6.5]","([1, 4, 5], [0, 2, 3])"
Community,GEMINI,"[['Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.', 'John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor'], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', ""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late""], ['John got a promotion at his job this year, and was given recognition for selling the most houses of any realtor', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], [""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next"", 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family', 'Yesterday at the bar, I overheard John talking about how big the lottery jackpot was getting and that he was considering buying a lot of tickets for a chance to win'], [""I overheard John's boss threatening to fire him -- apparently, John clocked in an hour late last week so that he could drop his kids off at summer camp"", 'Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner']]","[[6, 7, 7, 8], [6, 7, 7, 3], [7, 6, 7, 6], [5, 8, 9, 7], [5, 6, 7, 4], [7, 8, 9, 3]]","[[6, 7, 9, 5], [8, 7, 6, 8], [8, 6, 7, 8], [8, 8, 7, 8], [6, 7, 9, 5], [6, 7, 9, 5]]","[6.0, 7.0, 7.0, 7.0]","([2, 1, 3], [0, 4, 5])"
Community,GEMINI,"[[""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'Last month, John told me about his favorite hobbies -- sky-diving, spearfishing, and mountain biking.'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'I heard that John spent his yearly bonus from his job on a ski trip to Aspen with his family'], ['Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack', 'Last time I tried to hold a conversation with John, he kept getting distracted by the football game on the T.V.'], [""John was nowhere to be seen when his son gave his first piano recital -- apparently, he hadn't finished his work for the day and was forced to stay late"", ""John was super excited about picking up painting last year, but, from what I can tell, he can't seem to fully finish a painting before getting bored and moving on to the next""], ['Last week, I saw John worked overtime at his job and ending up going home a few hours late, missing dinner', 'Last time I visited John, I saw he had a comprehensive home gym complete with a weight set, bench, and squat rack']]","[[7, 6, 2, 4], [1, 7, 6, 4], [2, 7, 8, 3], [1, 6, 4, 8], [6, 5, 7, 8], [6, 7, 8, 3]]","[[4, 6, 5, 8], [3, 7, 8, 4], [4, 7, 9, 3], [4, 6, 5, 8], [4, 6, 5, 8], [5, 7, 9, 3]]","[3.5, 6.5, 6.5, 6.0]","([1, 5, 2], [0, 3, 4])"
